customer_id_legacy,transaction_id,purchase_amount,purchase_date,product_category,customer_rating,customer_id_new,social_media_platform,engagement_score,purchase_interest_score,review_sentiment,sentiment_numeric,engagement_sentiment_interaction,interest_value_ratio,sentiment_ordinal,platform_group,interest_density
189,1057,282,2024-02-26,Groceries,3.2,A189,Twitter,59,3.8,Neutral,1.0,59.0,0.9047619047619047,1,Professional_News,0.06333333333333332
152,1058,308,2024-02-27,Clothing,4.8,A152,Facebook,95,4.1,Positive,1.5,142.5,0.7068965517241379,2,Social_Casual,0.04270833333333333
152,1058,308,2024-02-27,Clothing,4.8,A152,Instagram,81,4.2,Positive,1.5,121.5,0.7241379310344828,2,Social_Casual,0.051219512195121955
101,1059,408,2024-02-28,Books,2.5,A101,Twitter,68,1.0,Neutral,1.0,68.0,0.2857142857142857,1,Professional_News,0.014492753623188406
183,1060,247,2024-02-29,Electronics,4.8,A183,TikTok,90,4.1,Positive,1.5,135.0,0.7068965517241379,2,Social_Casual,0.045054945054945054
183,1060,247,2024-02-29,Electronics,4.8,A183,TikTok,72,5.0,Positive,1.5,108.0,0.8620689655172414,2,Social_Casual,0.0684931506849315
191,1061,460,2024-03-01,Sports,4.6,A191,Facebook,92,2.1,Positive,1.5,138.0,0.37500000000000006,2,Social_Casual,0.022580645161290325
143,1064,214,2024-03-04,Sports,1.4,A143,Instagram,68,1.2,Negative,0.5,34.0,0.5,0,Social_Casual,0.017391304347826087
107,1065,274,2024-03-05,Books,1.1,A107,Twitter,96,1.9,Neutral,1.0,96.0,0.9047619047619047,1,Professional_News,0.01958762886597938
107,1065,274,2024-03-05,Books,1.1,A107,Facebook,62,4.4,Positive,1.5,93.0,2.0952380952380953,2,Social_Casual,0.06984126984126984
107,1065,274,2024-03-05,Books,1.1,A107,Twitter,73,4.2,Positive,1.5,109.5,2.0,2,Professional_News,0.05675675675675676
146,1066,356,2024-03-06,Groceries,1.4,A146,Twitter,69,3.9,Negative,0.5,34.5,1.625,0,Professional_News,0.055714285714285716
146,1066,356,2024-03-06,Groceries,1.4,A146,Facebook,81,2.9,Neutral,1.0,81.0,1.2083333333333333,1,Social_Casual,0.03536585365853658
177,1068,221,2024-03-08,Groceries,1.3,A177,LinkedIn,77,1.4,Positive,1.5,115.5,0.6086956521739131,2,Professional_News,0.017948717948717947
177,1068,221,2024-03-08,Groceries,1.3,A177,Twitter,65,1.3,Positive,1.5,97.5,0.5652173913043479,2,Professional_News,0.0196969696969697
180,1069,201,2024-03-09,Electronics,2.3,A180,Facebook,57,3.8,Negative,0.5,28.5,1.1515151515151516,0,Social_Casual,0.06551724137931034
180,1069,201,2024-03-09,Electronics,2.3,A180,LinkedIn,98,2.1,Negative,0.5,49.0,0.6363636363636365,0,Professional_News,0.021212121212121213
135,1070,364,2024-03-10,Electronics,3.0,A135,TikTok,50,1.6,Positive,1.5,75.0,0.4,2,Social_Casual,0.03137254901960784
149,1071,423,2024-03-11,Sports,1.1,A149,Facebook,51,1.3,Positive,1.5,76.5,0.6190476190476191,2,Social_Casual,0.025
103,1072,209,2024-03-12,Sports,4.3,A103,Instagram,77,2.3,Positive,1.5,115.5,0.43396226415094336,2,Social_Casual,0.029487179487179487
103,1072,209,2024-03-12,Sports,4.3,A103,Facebook,58,3.6,Positive,1.5,87.0,0.679245283018868,2,Social_Casual,0.061016949152542375
103,1072,209,2024-03-12,Sports,4.3,A103,Instagram,58,2.7,Negative,0.5,29.0,0.5094339622641509,0,Social_Casual,0.04576271186440678
101,1073,145,2024-03-13,Books,2.1,A101,Twitter,68,1.0,Neutral,1.0,68.0,0.3225806451612903,1,Professional_News,0.014492753623188406
105,1074,282,2024-03-14,Books,1.5,A105,LinkedIn,50,4.9,Neutral,1.0,50.0,1.9600000000000002,1,Professional_News,0.09607843137254903
105,1074,282,2024-03-14,Books,1.5,A105,Instagram,52,3.6,Neutral,1.0,52.0,1.44,1,Social_Casual,0.06792452830188679
103,1076,162,2024-03-16,Sports,3.5,A103,Instagram,77,2.3,Positive,1.5,115.5,0.5111111111111111,2,Social_Casual,0.029487179487179487
103,1076,162,2024-03-16,Sports,3.5,A103,Facebook,58,3.6,Positive,1.5,87.0,0.8,2,Social_Casual,0.061016949152542375
103,1076,162,2024-03-16,Sports,3.5,A103,Instagram,58,2.7,Negative,0.5,29.0,0.6000000000000001,0,Social_Casual,0.04576271186440678
192,1078,491,2024-03-18,Books,3.9,A192,Instagram,60,4.3,Positive,1.5,90.0,0.8775510204081631,2,Social_Casual,0.07049180327868852
162,1079,101,2024-03-19,Books,4.2,A162,Twitter,89,2.6,Positive,1.5,133.5,0.5,2,Professional_News,0.02888888888888889
162,1079,101,2024-03-19,Books,4.2,A162,Twitter,71,4.8,Positive,1.5,106.5,0.923076923076923,2,Professional_News,0.06666666666666667
162,1079,101,2024-03-19,Books,4.2,A162,Twitter,71,4.8,Positive,1.5,106.5,0.923076923076923,2,Professional_News,0.06666666666666667
117,1080,317,2024-03-20,Electronics,2.1,A117,LinkedIn,98,3.8,Neutral,1.0,98.0,1.225806451612903,1,Professional_News,0.03838383838383838
117,1080,317,2024-03-20,Electronics,2.1,A117,LinkedIn,78,3.9,Neutral,1.0,78.0,1.2580645161290323,1,Professional_News,0.049367088607594936
189,1081,344,2024-03-21,Books,3.0,A189,LinkedIn,78,2.7,Negative,0.5,39.0,0.675,0,Professional_News,0.03417721518987342
189,1081,344,2024-03-21,Books,3.0,A189,TikTok,99,4.1,Neutral,1.0,99.0,1.025,1,Social_Casual,0.040999999999999995
189,1081,344,2024-03-21,Books,3.0,A189,Facebook,94,3.8,Negative,0.5,47.0,0.95,0,Social_Casual,0.04
189,1081,344,2024-03-21,Books,3.0,A189,Twitter,59,3.8,Neutral,1.0,59.0,0.95,1,Professional_News,0.06333333333333332
189,1081,344,2024-03-21,Books,3.0,A189,Twitter,59,3.8,Neutral,1.0,59.0,0.95,1,Professional_News,0.06333333333333332
143,1082,435,2024-03-22,Groceries,4.0,A143,Instagram,68,1.2,Negative,0.5,34.0,0.24,0,Social_Casual,0.017391304347826087
133,1083,436,2024-03-23,Sports,4.2,A133,Twitter,72,1.9,Positive,1.5,108.0,0.36538461538461536,2,Professional_News,0.02602739726027397
133,1083,436,2024-03-23,Sports,4.2,A133,Twitter,71,4.8,Negative,0.5,35.5,0.923076923076923,0,Professional_News,0.06666666666666667
133,1083,436,2024-03-23,Sports,4.2,A133,Instagram,52,2.7,Positive,1.5,78.0,0.5192307692307693,2,Social_Casual,0.0509433962264151
173,1084,162,2024-03-24,Electronics,5.0,A173,TikTok,63,4.3,Negative,0.5,31.5,0.7166666666666667,0,Social_Casual,0.0671875
173,1084,162,2024-03-24,Electronics,5.0,A173,Facebook,78,3.9,Negative,0.5,39.0,0.65,0,Social_Casual,0.049367088607594936
199,1086,162,2024-03-26,Books,2.5,A199,LinkedIn,57,1.8,Positive,1.5,85.5,0.5142857142857143,2,Professional_News,0.03103448275862069
113,1087,489,2024-03-27,Books,4.1,A113,Facebook,98,2.7,Neutral,1.0,98.0,0.5294117647058825,1,Social_Casual,0.027272727272727275
113,1087,489,2024-03-27,Books,4.1,A113,Instagram,50,1.0,Positive,1.5,75.0,0.19607843137254904,2,Social_Casual,0.0196078431372549
194,1088,130,2024-03-28,Electronics,2.4,A194,LinkedIn,89,4.0,Negative,0.5,44.5,1.1764705882352942,0,Professional_News,0.044444444444444446
147,1089,236,2024-03-29,Groceries,3.0,A147,Twitter,77,1.5,Neutral,1.0,77.0,0.375,1,Professional_News,0.019230769230769232
114,1090,162,2024-03-30,Clothing,4.4,A114,Facebook,87,4.8,Negative,0.5,43.5,0.8888888888888888,0,Social_Casual,0.05454545454545454
177,1092,179,2024-04-01,Clothing,4.0,A177,LinkedIn,77,1.4,Positive,1.5,115.5,0.27999999999999997,2,Professional_News,0.017948717948717947
177,1092,179,2024-04-01,Clothing,4.0,A177,Twitter,65,1.3,Positive,1.5,97.5,0.26,2,Professional_News,0.0196969696969697
186,1093,269,2024-04-02,Clothing,4.0,A186,TikTok,79,2.8,Positive,1.5,118.5,0.5599999999999999,2,Social_Casual,0.034999999999999996
139,1095,392,2024-04-04,Clothing,4.6,A139,Twitter,72,4.0,Negative,0.5,36.0,0.7142857142857143,0,Professional_News,0.0547945205479452
179,1097,274,2024-04-06,Groceries,4.3,A179,Twitter,50,3.0,Negative,0.5,25.0,0.5660377358490566,0,Professional_News,0.058823529411764705
181,1098,434,2024-04-07,Clothing,3.0,A181,Twitter,66,2.1,Positive,1.5,99.0,0.525,2,Professional_News,0.03134328358208956
152,1099,452,2024-04-08,Clothing,4.6,A152,Facebook,95,4.1,Positive,1.5,142.5,0.7321428571428571,2,Social_Casual,0.04270833333333333
152,1099,452,2024-04-08,Clothing,4.6,A152,Instagram,81,4.2,Positive,1.5,121.5,0.7500000000000001,2,Social_Casual,0.051219512195121955
125,1101,179,2024-04-10,Electronics,3.0,A125,LinkedIn,66,4.7,Positive,1.5,99.0,1.175,2,Professional_News,0.07014925373134329
125,1101,179,2024-04-10,Electronics,3.0,A125,Facebook,56,3.2,Neutral,1.0,56.0,0.8,1,Social_Casual,0.056140350877192984
125,1101,179,2024-04-10,Electronics,3.0,A125,Twitter,67,4.9,Positive,1.5,100.5,1.225,2,Professional_News,0.07205882352941177
125,1101,179,2024-04-10,Electronics,3.0,A125,Twitter,77,2.5,Positive,1.5,115.5,0.625,2,Professional_News,0.03205128205128205
125,1101,179,2024-04-10,Electronics,3.0,A125,LinkedIn,66,4.7,Positive,1.5,99.0,1.175,2,Professional_News,0.07014925373134329
188,1102,102,2024-04-11,Electronics,4.6,A188,TikTok,50,3.6,Positive,1.5,75.0,0.6428571428571429,2,Social_Casual,0.07058823529411765
140,1104,267,2024-04-13,Groceries,2.3,A140,LinkedIn,86,3.1,Negative,0.5,43.0,0.9393939393939394,0,Professional_News,0.035632183908045977
128,1105,209,2024-04-14,Books,4.8,A128,Facebook,98,3.5,Positive,1.5,147.0,0.603448275862069,2,Social_Casual,0.03535353535353535
114,1106,247,2024-04-15,Clothing,4.8,A114,Facebook,87,4.8,Negative,0.5,43.5,0.8275862068965517,0,Social_Casual,0.05454545454545454
144,1107,465,2024-04-16,Clothing,3.3,A144,Twitter,70,1.3,Positive,1.5,105.0,0.3023255813953489,2,Professional_News,0.018309859154929577
188,1109,373,2024-04-18,Clothing,2.8,A188,TikTok,50,3.6,Positive,1.5,75.0,0.9473684210526316,2,Social_Casual,0.07058823529411765
187,1112,233,2024-04-21,Sports,3.7,A187,LinkedIn,97,4.4,Negative,0.5,48.5,0.9361702127659575,0,Professional_News,0.04489795918367347
187,1112,233,2024-04-21,Sports,3.7,A187,Instagram,71,2.5,Neutral,1.0,71.0,0.5319148936170213,1,Social_Casual,0.034722222222222224
187,1112,233,2024-04-21,Sports,3.7,A187,Twitter,89,1.3,Negative,0.5,44.5,0.2765957446808511,0,Professional_News,0.014444444444444446
100,1113,172,2024-04-22,Clothing,4.0,A100,Twitter,73,4.4,Negative,0.5,36.5,0.8800000000000001,0,Professional_News,0.05945945945945946
100,1113,172,2024-04-22,Clothing,4.0,A100,Instagram,81,4.4,Neutral,1.0,81.0,0.8800000000000001,1,Social_Casual,0.05365853658536586
107,1114,450,2024-04-23,Electronics,4.2,A107,Twitter,96,1.9,Neutral,1.0,96.0,0.36538461538461536,1,Professional_News,0.01958762886597938
107,1114,450,2024-04-23,Electronics,4.2,A107,Facebook,62,4.4,Positive,1.5,93.0,0.8461538461538461,2,Social_Casual,0.06984126984126984
107,1114,450,2024-04-23,Electronics,4.2,A107,Twitter,73,4.2,Positive,1.5,109.5,0.8076923076923077,2,Professional_News,0.05675675675675676
187,1115,304,2024-04-24,Sports,4.2,A187,LinkedIn,97,4.4,Negative,0.5,48.5,0.8461538461538461,0,Professional_News,0.04489795918367347
187,1115,304,2024-04-24,Sports,4.2,A187,Instagram,71,2.5,Neutral,1.0,71.0,0.4807692307692307,1,Social_Casual,0.034722222222222224
187,1115,304,2024-04-24,Sports,4.2,A187,Twitter,89,1.3,Negative,0.5,44.5,0.25,0,Professional_News,0.014444444444444446
162,1116,343,2024-04-25,Books,1.4,A162,Twitter,89,2.6,Positive,1.5,133.5,1.0833333333333335,2,Professional_News,0.02888888888888889
162,1116,343,2024-04-25,Books,1.4,A162,Twitter,71,4.8,Positive,1.5,106.5,2.0,2,Professional_News,0.06666666666666667
162,1116,343,2024-04-25,Books,1.4,A162,Twitter,71,4.8,Positive,1.5,106.5,2.0,2,Professional_News,0.06666666666666667
180,1118,374,2024-04-27,Electronics,1.2,A180,Facebook,57,3.8,Negative,0.5,28.5,1.727272727272727,0,Social_Casual,0.06551724137931034
180,1118,374,2024-04-27,Electronics,1.2,A180,LinkedIn,98,2.1,Negative,0.5,49.0,0.9545454545454545,0,Professional_News,0.021212121212121213
107,1119,421,2024-04-28,Sports,3.2,A107,Twitter,96,1.9,Neutral,1.0,96.0,0.45238095238095233,1,Professional_News,0.01958762886597938
107,1119,421,2024-04-28,Sports,3.2,A107,Facebook,62,4.4,Positive,1.5,93.0,1.0476190476190477,2,Social_Casual,0.06984126984126984
107,1119,421,2024-04-28,Sports,3.2,A107,Twitter,73,4.2,Positive,1.5,109.5,1.0,2,Professional_News,0.05675675675675676
132,1122,444,2024-05-01,Clothing,2.4,A132,LinkedIn,63,3.3,Positive,1.5,94.5,0.9705882352941176,2,Professional_News,0.0515625
104,1123,289,2024-05-02,Clothing,1.5,A104,Twitter,91,4.6,Negative,0.5,45.5,1.8399999999999999,0,Professional_News,0.049999999999999996
104,1123,289,2024-05-02,Clothing,1.5,A104,Twitter,76,1.6,Negative,0.5,38.0,0.64,0,Professional_News,0.02077922077922078
104,1123,289,2024-05-02,Clothing,1.5,A104,Facebook,82,2.6,Neutral,1.0,82.0,1.04,1,Social_Casual,0.03132530120481928
140,1124,193,2024-05-03,Groceries,1.6,A140,LinkedIn,86,3.1,Negative,0.5,43.0,1.1923076923076923,0,Professional_News,0.035632183908045977
127,1125,146,2024-05-04,Electronics,4.0,A127,Instagram,78,3.4,Negative,0.5,39.0,0.6799999999999999,0,Social_Casual,0.043037974683544304
127,1125,146,2024-05-04,Electronics,4.0,A127,Twitter,57,4.0,Positive,1.5,85.5,0.8,2,Professional_News,0.06896551724137931
106,1126,250,2024-05-05,Clothing,3.5,A106,Facebook,99,4.2,Negative,0.5,49.5,0.9333333333333333,0,Social_Casual,0.042
172,1127,173,2024-05-06,Books,1.4,A172,TikTok,56,2.7,Negative,0.5,28.0,1.1250000000000002,0,Social_Casual,0.04736842105263158
111,1129,375,2024-05-08,Clothing,3.8,A111,Instagram,98,4.1,Negative,0.5,49.0,0.8541666666666666,0,Social_Casual,0.04141414141414141
133,1130,398,2024-05-09,Electronics,1.3,A133,Twitter,72,1.9,Positive,1.5,108.0,0.8260869565217391,2,Professional_News,0.02602739726027397
133,1130,398,2024-05-09,Electronics,1.3,A133,Twitter,71,4.8,Negative,0.5,35.5,2.0869565217391304,0,Professional_News,0.06666666666666667
133,1130,398,2024-05-09,Electronics,1.3,A133,Instagram,52,2.7,Positive,1.5,78.0,1.173913043478261,2,Social_Casual,0.0509433962264151
